Descuento,{{custom_values.descuento}},50%
Admisión Conferencias,{{custom_values.admision_conferencias}},"$14,950"
Admisión Expo,{{custom_values.admision_expo}},"$4,950"
Admisión Network,{{custom_values.admision_network}},"$19,950"
Admisión Taller A,{{custom_values.admision_taller_a}},"$4,950"
Admisión Taller B,{{custom_values.admision_taller_b}},"$4,950"
Admisión Taller C,{{custom_values.admision_taller_c}},"$4,950"
Admisión Taller D,{{custom_values.admision_taller_d}},"$4,950"
Admisión VIP,{{custom_values.admision_vip}},"$24,950"
Patrocinio Bolsa Registro,{{custom_values.patrocinio_bolsa_registro}},"$20,000"
Patrocinio Cena VIP,{{custom_values.patrocinio_cena_vip}},"$50,000"
Patrocinio Cóctel Bienvenida,{{custom_values.patrocinio_coctel_bienvenida}},"$25,000"
Patrocinio Cóctel Networking,{{custom_values.patrocinio_coctel_networking}},"$25,000"
Patrocinio Coffee Break Dia 1,{{custom_values.patrocinio_coffee_break_dia_1}},"$10,000"
Patrocinio Coffee Break Dia 2,{{custom_values.patrocinio_coffee_break_dia_2}},"$20,000"
Patrocinio Coffee Break Dia 3,{{custom_values.patrocinio_coffee_break_dia_3}},"$20,000"
Patrocinio Conferencias Dia 1,{{custom_values.patrocinio_conferencias_dia_1}},"$25,000"
Patrocinio Conferencias Dia 2,{{custom_values.patrocinio_conferencias_dia_2}},"$25,000"
Patrocinio Goodies,{{custom_values.patrocinio_goodies}},"$5,000"
Patrocinio Nivel Diamante,{{custom_values.patrocinio_diamante}},"$1,000,000"
Patrocinio Nivel Oro,{{custom_values.patrocinio_oro}},"$200,000"
Patrocinio Nivel Plata,{{custom_values.patrocinio_plata}},"$100,000"
Patrocinio Nivel Platino,{{custom_values.patrocinio_platino}},"$400,000"
Patrocinio Taller A,{{custom_values.patrocinio_taller_a}},"$10,000"
Patrocinio Taller B,{{custom_values.patrocinio_taller_b}},"$10,000"
Patrocinio Taller C,{{custom_values.patrocinio_taller_c}},"$10,000"
Patrocinio Taller D,{{custom_values.patrocinio_taller_d}},"$10,000"
Patrocinio WiFi Taller A,{{custom_values.patrocinio_wifi_taller_a}},"$10,000"
Patrocinio WiFi Taller B,{{custom_values.patrocinio_wifi_taller_b}},"$10,000"
Patrocinio WiFi Taller C,{{custom_values.patrocinio_wifi_taller_c}},"$10,000"
Patrocinio WiFi Taller D,{{custom_values.patrocinio_wifi_taller_d}},"$10,000"
