Variable,Valor
capacidad_evento,200
capacidad_expo,100
capacidad_networking,25
capacidad_taller,20
capacidad_talleres,80
capacidad_vips,20
admision_conferencias,"$995 USD"
admision_expo,"$375 USD"
admision_network,"$1,245 USD"
admision_vip,"$1,495 USD"
admision_taller_a,"$375 USD"
admision_taller_b,"$375 USD"
admision_taller_c,"$375 USD"
admision_taller_d,"$375 USD"
patrocinio_bolsa_registro,"$1,500 USD"
patrocinio_cena_vip,"$3,00 USD"
patrocinio_coctel_bienvenida,"$2,000 USD"
patrocinio_coctel_networking,"$2,000 USD"
patrocinio_coffee_break_dia_1,"$750 USD"
patrocinio_coffee_break_dia_2,"$1,500 USD"
patrocinio_coffee_break_dia_3,"$1,500 USD"
patrocinio_conferencias_dia_1,"$1,500 USD"
patrocinio_conferencias_dia_2,"$1,500 USD"
patrocinio_diamante,"$60,000 USD"
patrocinio_goodies,"$500 USD"
patrocinio_oro,"$20,000 USD"
patrocinio_plata,"$10,000 USD"
patrocinio_platino,"$40,000 USD"
patrocinio_taller_a,"$750 USD"
patrocinio_taller_b,"$750 USD"
patrocinio_taller_c,"$750 USD"
patrocinio_taller_d,"$750 USD"
patrocinio_wifi_taller_a,"$750 USD"
patrocinio_wifi_taller_b,"$750 USD"
patrocinio_wifi_taller_c,"$750 USD"
patrocinio_wifi_taller_d,"$750 USD"
presupuesto,"$2,968,656"
presupuesto_subtotal,"$2,264,556"
meta_conservadora,"$3,301,318"
meta_base,"$6,145,935"
meta_optimista,"$8,563,968"
gastos,"$479,122"
balance,"-$479,122"
ingresos,"$0"
superavit,"+$332,662"
porcentaje_meta,"0%"
porcentaje_presupuesto,"0%"
renta_salones,"$645,270"
alimentos_y_bebidas,"$0"
escenografia,"$450,000"
marketing,"$252,360"
materiales_e_impresos,"$628,350"
honorarios_ponentes,"$410,640"
operaciones,"$533,600"
software,"$31,822"
contingencias,"$269,878"
