Admisión Conferencias,995
Admisión Expo,375
Admisión Network,"1,245"
Admisión Taller A,375
Admisión Taller B,375
Admisión Taller C,375
Admisión Taller D,375
Admisión VIP All Access,"1,495"
Patrocinio Bolsa de Registro,"1,500"
Patrocinio Cena VIP,"3,000"
Patrocinio Coffee Break Día 1,750
Patrocinio Coffee Break Día 2,"1,500"
Patrocinio Coffee Break Día 3,"1,500"
Patrocinio Conferencias Día 1,"1,500"
Patrocinio Conferencias Día 2,"1,500"
Patrocinio Cóctel de Bienvenida,"2,000"
Patrocinio Cóctel de Networking,"2,000"
Patrocinio Goodies,500
Patrocinio Nivel Diamante,"60,000"
Patrocinio Nivel Oro,"20,000"
Patrocinio Nivel Plata,"10,000"
Patrocinio Nivel Platino,"40,000"
Patrocinio Taller A,750
Patrocinio Taller B,750
Patrocinio Taller C,750
Patrocinio Taller D,750
Patrocinio WiFi Taller A,750
Patrocinio WiFi Taller B,750
Patrocinio WiFi Taller C,750
Patrocinio WiFi Taller D,750
