Producto,Unidades
Admisión Conferencias,200
Admisión Expo,200
Admisión Network,25
Admisión Taller A,20
Admisión Taller B,20
Admisión Taller C,20
Admisión Taller D,20
Admisión VIP All Access,20
Patrocinio Bolsa de Registro,10
Patrocinio Cena VIP,1
Patrocinio Coffee Break Día 1,2
Patrocinio Coffee Break Día 2,3
Patrocinio Coffee Break Día 3,3
Patrocinio Conferencias Día 1,3
Patrocinio Conferencias Día 2,3
Patrocinio Cóctel de Bienvenida,2
Patrocinio Cóctel de Networking,2
Patrocinio Goodies,10
Patrocinio Nivel Diamante,1
Patrocinio Nivel Oro,3
Patrocinio Nivel Plata,4
Patrocinio Nivel Platino,2
Patrocinio Taller A,3
Patrocinio Taller B,3
Patrocinio Taller C,3
Patrocinio Taller D,3
Patrocinio WiFi Taller A,3
Patrocinio WiFi Taller B,3
Patrocinio WiFi Taller C,3
Patrocinio WiFi Taller D,3
